HLA-DQA1	-6.011917569
HLA-DMA	-5.935667507
HLA-DQA1	-5.550670294
HLA-A	-5.457042972
SFTA2	-4.961432846
HLA-DQB1	-4.859437758
HLA-DRB4	-4.799626789
HLA-DRB1	-3.786126252
SERF1B	-3.711207216
IGLV3-16	-3.559877958
PPP1R11	-3.307453299
IGLV1-44	-3.087967569
KLK5	-2.972821006
LENG8	-2.869686999
WDR46	-2.787841978
SMN2	-2.73296265
MTND6P4	-2.726642641
AC093809.1	-2.626913035
IGHG2	-2.503305028
IGHG3	-2.480736032
IGLV2-11	-2.465757539
IGHG2	-2.406189816
HLA-DQB1	-2.399755296
AGPAT1	-2.367454513
HERC2P2	-2.363245045
FOSB	-2.349872136
IGHV4-39	-2.30976027
HSPA1B	-2.289159847
HLA-C	-2.219122715
IGHV1-69	-2.215139998
AC136616.2	-2.18080761
IGHV3-73	-2.175760166
MTCO1P12	-2.174607004
PBX2	-2.174267512
IGHV3-66	-2.161079165
CSH1	-2.151720769
VARS2	-2.147144237
IGHV1-24	-2.115005937
AC025627.3	-2.075568288
IGHD	-2.018835914
IGHE	-2.004219756
IGLJ3	-2.000973272
UBD	-1.987881956
IGHJ3P	-1.985234181
IGKV3D-20	-1.975661888
AC009060.2	-1.967648565
PRSS2	-1.956326979
AC024995.1	-1.901393664
IGHV3-7	-1.879763587
AC008038.1	-1.859039029
TRBJ1-6	-1.85359323
MAG	-1.833740027
IGHV3OR16-9	-1.824624523
IGHV3-72	-1.821966481
IGHJ6	-1.77330123
AC103563.1	-1.768567157
AC009053.4	-1.76143677
TRAJ12	-1.760909443
IGKV2-29	-1.748910424
PCK1	-1.74604467
TMEM190	-1.7269799
PKD1P5	-1.709920301
C2	-1.706239772
HSPA1B	-1.704256754
FOLR3	-1.699001826
IGHV5-10-1	-1.667655779
PCSK1N	-1.653815751
IGKV2D-30	-1.635602685
IGLV3-24	-1.63430555
IGLV2-28	-1.63113125
H3F3AP4	-1.622890395
IGHV7-81	-1.622377992
AC009093.3	-1.620841231
IGHV3-41	-1.618224884
IGHV3-64D	-1.60847348
HLA-DPB1	-1.604926043
AP2A2	-1.59207114
LSP1P2	-1.57876727
HLA-F	-1.578355464
IGLV10-54	-1.576123702
IGHV1OR15-4	-1.56304358
AC137800.2	-1.55804548
HLA-C	-1.557322991
AC093787.1	-1.550896785
TRBV7-2	-1.531771631
TBC1D3L	-1.503482057
AGER	-1.499015263
IGLV2-5	-1.49385302
IGLVI-70	-1.491756789
TRAJ58	-1.48339016
CXCL9	-1.479209343
EGFL8	-1.466447017
AC005899.2	-1.460988364
HSPA1A	-1.452369763
AC125388.1	-1.432425883
IGHGP	-1.429639179
RPP21	-1.428334824
IGHV3-52	-1.41831093
NPIPA8	-1.417067443
IGHV3-69-1	-1.413523679
IGKV2-24	-1.397043387
IGLV4-69	-1.389479774
ZBTB16	-1.388862039
HLA-DOB	-1.377775016
IGHJ2	-1.368677323
AREG	-1.364695305
AL645939.1	-1.360933133
IGHV3-6	-1.357595449
IGHV2-26	-1.355553708
IGKV3D-11	-1.347257277
IGHV3-23	-1.346043335
IGHV3-62	-1.334866821
RGS4	-1.304304128
AC104389.5	-1.298082952
IGHG4	-1.289805956
IGHM	-1.283006967
IGHV3-74	-1.2727381
RPS29P12	-1.248891823
IGKV2D-26	-1.243835249
IGHV3-13	-1.241947446
RNF5	-1.23855524
AGPAT1	-1.233309472
AC104451.1	-1.229576007
IGLC7	-1.22940524
AC011447.1	-1.227009164
AC000041.1	-1.224770768
IGHV3-63	-1.224222386
NTRK2	-1.224194055
IGHV1OR15-2	-1.222935876
AADAC	-1.222256414
KLK7	-1.217625684
SMN1	-1.212641108
TRAJ49	-1.207564929
LENG8	-1.205505483
CSNK2B	-1.202646749
AC243587.1	-1.200948887
IGLV2-33	-1.193548742
IGKV1-13	-1.191739136
AL355987.1	-1.191560131
IGHV3-33	-1.186219983
CSH2	-1.171117137
IGHV3OR16-8	-1.166113258
CXCL10	-1.163185276
SERPINE1	-1.162972009
BRD2	-1.162963695
GPSM3	-1.162919488
AC145029.2	-1.1532936
IGKV2-30	-1.152738837
AC073264.3	-1.15231119
TRIM26	-1.15057726
C4B_2	-1.145622141
NMTRQ-TTG12-1	-1.141970922
TRBJ2-2	-1.139046959
IGLV7-43	-1.138849774
IGHV1-45	-1.135144479
IGLV3-10	-1.126145995
AC234301.4	-1.114895764
IGKV1-8	-1.111345719
HLA-DQB2	-1.102417403
TNXA	-1.098952363
AC004556.1	-1.097088547
C4B	-1.08952951
EGFL8	-1.085955624
AC025048.6	-1.085796909
ITLN1	-1.085289454
FKBP5	-1.083998022
IGHV2-70	-1.080944102
AC242842.2	-1.064218555
DEFB1	-1.055294487
BAG6	-1.048214756
NR4A2	-1.047999804
PPBP	-1.045323943
TBC1D3C	-1.044505565
AC044797.1	-1.037865756
ZBTB22	-1.036683868
AL022345.2	-1.035779433
PPP1R18	-1.033497092
PGC	-1.032774755
IGKV3D-15	-1.031332857
HLA-DRA	-1.023334208
IGKV1D-42	-1.018353463
QRFPR	-1.01738386
IGHV3-19	-1.01702084
MAS1L	-1.016668836
IGHV3-15	-1.015951616
ZBTB22	-1.013499308
ZBTB9	-1.011042525
CDK7	-1.009947265
IGKV2D-24	-1.009553594
CST2	-1.007639055
AC245056.4	-1.00739254
AC013244.2	-1.005694605
TRIM26	-1.004783385
HLA-S	-1.004231704
RBFOX2	-1.003919146
AL669831.7	-1.003278704
FLOT1	-1.003160447
CRISPLD2	-1.000825043
