CYP1A1	5.925311877
IGHA2	5.096320661
IGHV4-39	5.034134556
RPS9	4.261915578
HSPA1A	4.242648359
AC024293.1	4.208672747
IGHJ5	4.173865453
HLA-F	2.814433872
IGHJ3	2.515129955
HLA-C	2.374771438
ATP6V0D2	2.339825929
EEF1A1P11	2.261377353
DCSTAMP	2.221128138
RPL3P4	2.218860606
IGHV3-69-1	2.105473423
DNASE2B	2.082816096
IGHV3-73	2.052273918
CCL23	2.037434388
TRBC1	2.036446909
CD207	2.029454009
SMN2	2.013839025
BIRC7	2.012943717
AHRR	1.926119969
NOMO1	1.92490951
NTM	1.910520883
CD1A	1.903133182
HLA-DQB1	1.893262849
IGHV7-4-1	1.876737495
IGHV4-34	1.87634712
HIST2H2AA3	1.869492203
CCL18	1.845640583
IGKV1D-16	1.843331674
F8A3	1.822904654
HLA-C	1.821877746
CCL13	1.816363446
DEFB109D	1.797163891
CYP1B1	1.772418377
HLA-U	1.76902216
AC241640.1	1.761031331
AC073261.1	1.748539696
GSTA2	1.744732391
NOTCH4	1.736427901
WFIKKN2	1.712427495
DHX16	1.691370382
C4B	1.68827717
CKS1BP3	1.669230906
ALDH3A1	1.656815443
LENG8	1.648881338
AC233755.2	1.635593515
OR2A9P	1.615375344
KRT79	1.614140504
TAP2	1.600098632
SERPINA1	1.586757804
RPP21	1.556744388
NPIPA3	1.537428653
AC104692.1	1.521953432
ARHGEF35	1.520116203
VN1R84P	1.514170459
HAMP	1.498525601
HLA-DQA2	1.490225352
HLA-DMB	1.484480027
LILRB4	1.481816362
DDR1	1.479224185
AC068724.2	1.477470027
AGPAT1	1.475267687
LILRA2	1.468799496
ARX	1.463007697
HLA-A	1.455039126
EGFL8	1.453271732
MT1P3	1.451497681
LILRA5	1.435847523
LAIR1	1.433667423
AC025279.3	1.407176879
HLA-DQB2	1.401335038
PPP1R11	1.39542706
TREM2	1.395328867
LENG1	1.39130811
AC138827.3	1.386869165
SYNGR3	1.380758224
PHRF1	1.370939647
CT45A9	1.348891719
HLA-DRB3	1.347801984
IGHD3-16	1.340229922
AL161669.2	1.337586462
MMP1	1.333189879
MMP10	1.311863456
IGHD2-15	1.30546279
CHIT1	1.296300022
AL500527.2	1.282212205
LAIR1	1.269256543
ATP9B	1.267690732
HLA-DRA	1.267563838
RPH3AL	1.265459607
TBC1D3D	1.257741228
AC009474.2	1.239565532
OR6N1	1.237555024
MTRNR2L2	1.225837637
CCL26	1.225033701
AC211486.4	1.223112589
DDR1	1.22188171
MTATP8P1	1.220126671
IGLV3-27	1.211703883
C6orf47	1.203657442
CHST9	1.193523983
TRBV7-2	1.187689636
SAA1	1.18745465
CLC	1.185943871
AC023157.2	1.184983748
AC092865.3	1.184384236
CYTL1	1.182979997
LINC00475	1.180664084
AP003716.2	1.177462235
AC025459.1	1.167094757
AC233755.1	1.15597619
MSLN	1.148647262
HSPA1A	1.145468971
HLA-C	1.145097366
CXCL8	1.143236961
TRAJ39	1.142768813
NMRAL2P	1.136623559
TRAJ9	1.127527226
CYP1A2	1.125479245
HLA-DOA	1.124338833
HLA-DPB1	1.110185808
MMP12	1.107994882
ABR	1.107021354
AC139494.5	1.095632852
DXO	1.08630777
PTCRA	1.085683344
OR6K3	1.082136446
VPS52	1.080255054
CLEC6A	1.074257882
HLA-V	1.071138379
SFTA2	1.070428432
FCGBP	1.062759004
IL1B	1.061501721
PAM16	1.060393953
AC010323.1	1.059324538
AC245100.9	1.056189277
SERPINB3	1.0492904
SKIV2L	1.043076876
GPANK1	1.040758389
BCL2A1	1.040496154
LIPA	1.040488254
BPIFB1	1.03957461
CCL22	1.038378808
HLA-F	1.036097669
ACP5	1.035691668
ZBTB22	1.033709969
WDR46	1.032718844
DNAJC5B	1.031313724
HES2	1.028961894
TDRD9	1.023952834
HLA-DRA	1.018178964
AL035078.4	1.017927845
CD101	1.017008099
TM4SF19	1.007927284
HSPA1B	1.007375171
IGHV3-64	1.005552878
C1orf167	1.000567873
